account,date,n_trades,total_pnl,avg_trade_size_usd,total_volume_usd,n_unique_coins,n_closes,win_rate,n_opens,long_ratio,classification,sentiment_side,strategy1_flag
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-03,75,439.634046,1251.5914666666667,93869.36,7,46.0,0.9782608695652174,18.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-07,54,932.4458159999999,596.832037037037,32228.93,5,36.0,1.0,5.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-08,32,0.0,630.2528125,20168.09,7,,,17.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-10,43,436.833818,1075.9925581395348,46267.68,5,29.0,1.0,11.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-25,49,168.27053,883.3975510204082,43286.48,8,13.0,1.0,29.0,0.9655172413793104,Fear,Fear,Crowded Long - Reduce Exposure
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-28,81,-3425.450348,1611.6066666666666,130540.14,7,29.0,0.896551724137931,51.0,1.0,Extreme Fear,Fear,Crowded Long - Reduce Exposure
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-01,37,557.9358,840.2127027027027,31087.87,6,14.0,1.0,22.0,0.8181818181818182,Extreme Fear,Fear,Crowded Long - Reduce Exposure
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-03,58,494.669357,536.928448275862,31141.85,7,21.0,1.0,37.0,0.8648648648648649,Fear,Fear,Crowded Long - Reduce Exposure
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-04,43,163.73415,1091.9493023255814,46953.82,7,13.0,1.0,30.0,1.0,Extreme Fear,Fear,Crowded Long - Reduce Exposure
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-05,26,437.35445200000004,1109.076923076923,28836.0,5,20.0,1.0,4.0,1.0,Extreme Fear,Fear,Crowded Long - Reduce Exposure
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-07,40,411.824274,748.432,29937.28,6,15.0,1.0,25.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-08,35,173.811132,698.2522857142857,24438.829999999998,7,14.0,1.0,21.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-09,36,140.953497,1118.493611111111,40265.77,5,6.0,1.0,30.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-10,31,-4026.754395,838.0596774193548,25979.85,6,16.0,0.1875,15.0,1.0,Extreme Fear,Fear,Crowded Long - Reduce Exposure
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-11,24,0.0,538.44125,12922.59,4,,,16.0,1.0,Extreme Fear,Fear,Crowded Long - Reduce Exposure
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-12,9,33.01095,851.8611111111111,7666.75,2,4.0,1.0,5.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-16,27,106.912886,618.9422222222222,16711.44,4,18.0,1.0,9.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-17,2,0.0,653.5999999999999,1307.1999999999998,2,,,2.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-21,12,0.5844,187.86083333333332,2254.33,3,1.0,1.0,11.0,0.8181818181818182,Fear,Fear,Crowded Long - Reduce Exposure
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-27,38,-133.035992,1857.9734210526317,70602.99,6,9.0,0.6666666666666666,25.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-28,41,-21.766132,876.1812195121952,35923.43,7,4.0,0.25,37.0,0.972972972972973,Fear,Fear,Crowded Long - Reduce Exposure
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-29,15,28.499012000000004,468.65066666666667,7029.76,6,5.0,1.0,10.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-30,44,-743.288757,726.7522727272727,31977.1,11,11.0,0.09090909090909091,33.0,0.9393939393939394,Fear,Fear,Crowded Long - Reduce Exposure
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-31,52,3.5652170000000005,375.1351923076923,19507.03,7,14.0,0.5,37.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-01,41,768.351892,422.4107317073171,17318.84,7,29.0,0.9310344827586207,7.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-02,70,669.381363,414.13428571428574,28989.4,6,42.0,1.0,14.0,0.9285714285714286,Fear,Fear,Crowded Long - Reduce Exposure
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-03,85,149.51234499999998,453.3190588235294,38532.12,5,21.0,0.47619047619047616,64.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-04,100,498.73528200000004,280.5443,28054.43,10,63.0,0.8888888888888888,35.0,0.8571428571428571,Fear,Fear,Crowded Long - Reduce Exposure
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-05,56,177.049662,331.27535714285716,18551.420000000002,4,38.0,0.8947368421052632,18.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-06,74,-476.77056300000004,387.5243243243243,28676.8,7,38.0,0.7105263157894737,36.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-07,150,-19833.530157,830.2844666666666,124542.67,7,110.0,0.24545454545454545,28.0,1.0,Extreme Fear,Fear,Crowded Long - Reduce Exposure
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-08,65,230.103259,279.894,18193.11,5,28.0,0.8571428571428571,7.0,1.0,Extreme Fear,Fear,Crowded Long - Reduce Exposure
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-09,53,94.077376,244.56867924528302,12962.14,5,19.0,0.631578947368421,8.0,1.0,Extreme Fear,Fear,Crowded Long - Reduce Exposure
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-07,149,-1145.924392,2135.150268456376,318137.39,2,102.0,0.058823529411764705,47.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-25,24,169.617628,1016.4883333333333,24395.72,2,18.0,0.8333333333333334,6.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-26,10,25.30602,156.53799999999998,1565.3799999999999,1,9.0,1.0,1.0,1.0,Extreme Fear,Fear,Crowded Long - Reduce Exposure
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-03-05,89,11113.173067,2537.6704494382025,225852.67,2,58.0,1.0,31.0,1.0,Extreme Fear,Fear,Crowded Long - Reduce Exposure
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-03-06,15,279.152034,1287.3273333333334,19309.91,1,11.0,1.0,4.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-03-07,3,1.17533,972.65,2917.95,1,1.0,1.0,2.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-03-11,13,276.7687,3849.383076923077,50041.98,1,10.0,1.0,3.0,1.0,Extreme Fear,Fear,Crowded Long - Reduce Exposure
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-03-21,74,1215.774424,1528.0594594594593,113076.4,2,53.0,1.0,21.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-03-23,15,514.5145660000001,919.33,13789.95,1,9.0,1.0,6.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-04-01,9,1334.414834,1193.0444444444445,10737.4,1,4.0,1.0,5.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-04-02,6,1.1031579999999999,395.24,2371.44,1,3.0,0.6666666666666666,3.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-04-03,26,160.127816,739.3319230769231,19222.63,1,19.0,1.0,7.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-04-11,45,1419.922474,1310.5517777777777,58974.83,1,34.0,1.0,11.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-04-14,8,18.103863,133.5325,1068.26,1,7.0,0.7142857142857143,1.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-04-18,7,11.209037,74.56857142857143,521.98,1,6.0,1.0,1.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-03-04,63,863.956464,3213.5458730158734,202453.39,3,30.0,1.0,26.0,1.0,Extreme Fear,Fear,Crowded Long - Reduce Exposure
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-03-21,3,0.0,10058.62,30175.86,1,,,3.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-10-03,5,100.375782,2585.338,12926.69,1,3.0,1.0,2.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-02-07,93,5615.052102,4485.160645161291,417119.94,1,24.0,1.0,69.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-04-09,79,0.0,5570.2651898734175,440050.95,1,,,79.0,1.0,Extreme Fear,Fear,Crowded Long - Reduce Exposure
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-07,17,126.11297599999999,288.2288235294118,4899.89,3,15.0,0.9333333333333333,2.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-08,22,78.902492,532.6045454545455,11717.3,8,5.0,1.0,8.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-19,22,89.261197,303.90090909090907,6685.82,5,8.0,0.75,9.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-04,32,444.266681,502.8234375,16090.35,9,7.0,1.0,11.0,1.0,Extreme Fear,Fear,Crowded Long - Reduce Exposure
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-08,31,119.3611,449.9274193548387,13947.75,4,7.0,1.0,24.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-09,8,0.0,827.6537500000001,6621.2300000000005,5,,,6.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-10,16,0.0,734.3568750000001,11749.710000000001,5,,,15.0,1.0,Extreme Fear,Fear,Crowded Long - Reduce Exposure
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-16,7,-6.342484000000001,569.8328571428572,3988.83,3,5.0,0.4,2.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-31,16,798.187528,471.555,7544.88,5,5.0,1.0,11.0,0.9090909090909091,Fear,Fear,Crowded Long - Reduce Exposure
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-01,19,-680.287463,247.43947368421055,4701.35,5,18.0,0.3333333333333333,1.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-02,4,93.006465,405.9275,1623.71,3,3.0,1.0,1.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-03,14,7.052034,635.2357142857143,8893.3,4,2.0,1.0,10.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-04,2,0.0,874.78,1749.56,2,,,1.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-16,11,17.022667,768.989090909091,8458.880000000001,5,3.0,1.0,4.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-02-25,215,11271.895074,5634.781581395349,1211478.04,3,114.0,1.0,101.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-02-27,12,503.31943,8378.118333333334,100537.42,1,4.0,1.0,8.0,1.0,Extreme Fear,Fear,Crowded Long - Reduce Exposure
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-02-28,89,22299.186495,14857.899887640451,1322353.09,2,72.0,1.0,17.0,1.0,Extreme Fear,Fear,Crowded Long - Reduce Exposure
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-03-03,19,0.0,10522.962631578948,199936.29,1,,,19.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-03-04,155,0.0,5549.306774193548,860142.5499999999,3,,,155.0,1.0,Extreme Fear,Fear,Crowded Long - Reduce Exposure
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-03-06,15,5109.859504,9685.342,145280.13,2,5.0,1.0,10.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-03-07,57,0.0,1755.7517543859651,100077.85,1,,,57.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-03-10,114,0.08712,5590.744561403509,637344.88,3,1.0,1.0,113.0,1.0,Extreme Fear,Fear,Crowded Long - Reduce Exposure
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-03-11,84,0.0,3216.501666666667,270186.14,2,,,84.0,1.0,Extreme Fear,Fear,Crowded Long - Reduce Exposure
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-03-21,17,0.0,1470.5794117647058,24999.85,1,,,17.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-03-23,76,2897.148962,3986.6614473684212,302986.27,1,26.0,1.0,50.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-03-29,23,314.6728,15232.22,350341.06,3,3.0,1.0,20.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-03-31,47,4750.8109939999995,9463.05744680851,444763.7,2,26.0,1.0,21.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-04-03,60,0.0,16666.611,999996.66,1,,,60.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-04-04,51,0.0,8264.040980392158,421466.09,2,,,51.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-04-06,103,0.0,5508.490970873787,567374.5700000001,2,,,103.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-04-07,189,13642.628143,7781.819788359788,1470763.94,2,40.0,1.0,149.0,1.0,Extreme Fear,Fear,Crowded Long - Reduce Exposure
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-04-09,290,107892.62706,17935.84644827586,5201395.47,3,143.0,0.958041958041958,147.0,0.9591836734693877,Extreme Fear,Fear,Crowded Long - Reduce Exposure
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-04-10,222,84856.33534,26118.342432432433,5798272.0200000005,2,80.0,1.0,142.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-04-21,23,-681.29819,30543.59565217391,702502.7,1,22.0,0.0,1.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-06-29,17,1842.738325,13148.880588235294,223530.97,1,13.0,1.0,4.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-04,14,0.0,18215.87285714286,255022.22,1,,,14.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-05,20,0.0,13514.937,270298.74,1,,,20.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-10,43,11595.627026,15625.97930232558,671917.11,1,33.0,1.0,10.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-11,19,1876.812082,8941.422105263156,169887.02,1,9.0,1.0,10.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-12,10,0.0,7600.664999999999,76006.65,1,,,10.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-03,13,0.0,8652.23,112478.98999999999,1,,,13.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-04,72,-108604.496278,12521.542916666665,901551.09,1,60.0,0.0,12.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-05,17,-4779.219012,12572.832941176472,213738.16,1,2.0,0.0,15.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-12,16,858.6705000000001,2758.775,44140.4,1,6.0,1.0,10.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-13,5,0.0,2500.02,12500.1,2,,,4.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-14,9,2168.9015130000003,7185.148888888889,64666.34,1,5.0,1.0,4.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-16,2,0.0,6250.0650000000005,12500.130000000001,1,,,2.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-28,7,0.0,6784.937142857142,47494.56,1,,,7.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-30,3,0.0,9164.183333333334,27492.550000000003,1,,,3.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-09-02,2,0.0,15000.21,30000.42,1,,,2.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-09-04,1,0.0,35004.98,35004.98,1,,,1.0,1.0,Fear,Fear,Crowded Long - Reduce Exposure
